basis,rho,estimator,statistic,n_cells,median,ci_lo_naive,ci_hi_naive,ci_lo_seed_cluster,ci_hi_seed_cluster,ci_lo_two_way,ci_hi_two_way
hadamard_raw_ordered_2048,0.001,gain_rel_err_ratio,slope_wle16,200,0.01550340540579961,0.01188310142893801,0.02451091959309035,0.015256645391713664,0.018423857153557755,0.001416625430428989,0.03392479359458357
hadamard_raw_ordered_2048,0.001,gain_rel_err_ratio,log10_best_err,200,-0.046429696084473754,-0.04839989055865529,-0.04557005283041807,-0.04932148683291319,-0.044922492459878116,-0.049718363948386676,-0.044409986943280196
hadamard_raw_ordered_2048,0.001,gain_rel_err_log,slope_wle16,200,-0.08888601283005657,-0.09293180328063841,-0.08382798863814198,-0.09193763994499057,-0.08654003301843238,-0.127564182163102,-0.019384117711351023
hadamard_raw_ordered_2048,0.001,gain_rel_err_log,log10_best_err,200,-0.14984776941071393,-0.17967931747393878,-0.12651885234466959,-0.15355889807580708,-0.1446014610352942,-0.2494773415882222,-0.07552865741685975
hadamard_raw_ordered_2048,0.01,gain_rel_err_ratio,slope_wle16,200,0.015450939305843799,0.011448957230108234,0.02401920437200582,0.015366515167562204,0.01761287667898337,0.0012428435078770535,0.034169931843779866
hadamard_raw_ordered_2048,0.01,gain_rel_err_ratio,log10_best_err,200,-0.045814218051811836,-0.04694584434516124,-0.04527756907996417,-0.04751946458173427,-0.04457540830243598,-0.048112626327013644,-0.04409431844722771
hadamard_raw_ordered_2048,0.01,gain_rel_err_log,slope_wle16,200,-0.08860085516487637,-0.09551928406594641,-0.08241419324669838,-0.09404647746833558,-0.08435117681858523,-0.12266390720573712,-0.019538520330035385
hadamard_raw_ordered_2048,0.01,gain_rel_err_log,log10_best_err,200,-0.14560286569252937,-0.18135642462478602,-0.12595746852101586,-0.14882533403938977,-0.14276977235496846,-0.24252757551255796,-0.07891748717604072
hadamard_raw_shuffled_1024,0.001,gain_rel_err_ratio,slope_wle16,200,-0.024552979205678633,-0.027122059365559843,-0.02140962969822658,-0.026518947581233153,-0.023742989215296,-0.03342307820598566,-0.010074983077267787
hadamard_raw_shuffled_1024,0.001,gain_rel_err_ratio,log10_best_err,200,-0.10341127541721212,-0.11073983821965383,-0.09841925259024989,-0.11395351862165434,-0.09693184047078135,-0.11921427955800298,-0.09331835136355073
hadamard_raw_shuffled_1024,0.001,gain_rel_err_log,slope_wle16,200,-0.29572799621897716,-0.31919926607660537,-0.26572592691221575,-0.3149363728594253,-0.27357757172590735,-0.3583839567162189,-0.17191698563212995
hadamard_raw_shuffled_1024,0.001,gain_rel_err_log,log10_best_err,200,-0.8723237490626836,-0.943791921088926,-0.8312838560699896,-0.9486364454971183,-0.8333785098348647,-1.0322924016556234,-0.7031839476329674
hadamard_raw_shuffled_1024,0.01,gain_rel_err_ratio,slope_wle16,200,-0.024447426927467986,-0.02716332684004304,-0.020406387669109034,-0.02624407328769321,-0.022198563711027814,-0.03452670041003112,-0.010176732490658126
hadamard_raw_shuffled_1024,0.01,gain_rel_err_ratio,log10_best_err,200,-0.10353420667322422,-0.10794257240788911,-0.09818952705704992,-0.11065295096675576,-0.09668717227156752,-0.11442608608965486,-0.09195809863490223
hadamard_raw_shuffled_1024,0.01,gain_rel_err_log,slope_wle16,200,-0.2954365277377541,-0.3168458462719451,-0.26006918401580204,-0.31445101221385513,-0.27547593059915937,-0.35729669975216305,-0.16838528097969233
hadamard_raw_shuffled_1024,0.01,gain_rel_err_log,log10_best_err,200,-0.8307782236509949,-0.8637361755509514,-0.7859260629657814,-0.8668031362101231,-0.7859260629657814,-0.9294114699461757,-0.6902268146881699
hadamard_raw_shuffled_2048,0.001,gain_rel_err_ratio,slope_wle16,200,-0.024182428026234097,-0.02653955626834027,-0.02134242206675508,-0.02630746254284085,-0.020282611587423113,-0.03041031422262143,-0.010021045991391666
hadamard_raw_shuffled_2048,0.001,gain_rel_err_ratio,log10_best_err,200,-0.09995911245653427,-0.10427399183746777,-0.09429540596836153,-0.10656528421640182,-0.09225875195280475,-0.11058201369591422,-0.08820612858829482
