sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.8461791729399764,-21.676829845745324,9,0.001,10.0
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.7840534945748683,-20.515863790449387,9,0.001,10.0
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.6226266591003657,-14.044406632244794,9,0.001,10.0
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.40731017206156395,-2.327974014088486,9,0.001,10.0
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.7091983612675481,-0.12124288802526806,9,0.001,10.0
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.3372489742630282,-23.34951749570837,9,0.001,10.0
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.47938060841484287,-23.230302545060322,9,0.001,10.0
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.474579353720479,-17.26248442583955,9,0.001,10.0
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.9026526889752908,-2.796955718551793,9,0.001,10.0
0.1,scgi_proxy,srht_paired,hadamard_paired,0.04604607054138067,observed,0.11857695496637,-0.12244705047660887,9,0.001,10.0
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.45368108036618615,-10.22297720699376,9,0.001,10.0
0.15,agc,random_binary,hadamard_paired,2.7030059112845786,observed,0.07232582842606661,-9.693984972065191,9,0.001,10.0
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.22294971679222542,-2.884767323391813,9,0.001,10.0
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.4212235207915178,-2.291509124281969,9,0.001,10.0
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.079373980662997,0.30576050107067054,9,0.001,10.0
0.15,none,random_uniform,hadamard_paired,,not_reached,-0.6616244049371716,-19.03655784221528,9,0.001,10.0
0.15,none,random_binary,hadamard_paired,,not_reached,-0.11617480175814343,-17.93039353013034,9,0.001,10.0
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.14159596713979994,-10.496723505281839,9,0.001,10.0
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.41465783762133057,-2.1164756121173163,9,0.001,10.0
0.15,none,srht_paired,hadamard_paired,0.029052810151300037,observed,0.12633136108393295,-0.14926914506172295,9,0.001,10.0
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.4933728249961895,-3.000764860572822,9,0.001,10.0
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09972002091119059,0.017457477894843976,9,0.001,10.0
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.8815627783849003,-22.769453893510054,9,0.001,10.0
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.17761621552531004,-22.86216311574711,9,0.001,10.0
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0904717098715917,-18.05254616211811,9,0.001,10.0
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.6329010965082116,-3.0059226475141045,9,0.001,10.0
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07966642726332651,0.016140259471384866,9,0.001,10.0
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.8120458129999832,-20.277155869218774,9,0.001,10.0
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.4181603618296439,-20.029323401132455,9,0.001,10.0
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.12431435125852452,-15.16881989393524,9,0.001,10.0
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.45170739297124385,-2.904727208285294,9,0.001,10.0
0.15,reference_k32,srht_paired,hadamard_paired,0.10102614380182397,observed,0.08660896169280896,-0.11723944161924749,9,0.001,10.0
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.7689441072988359,-20.408912637076966,9,0.001,10.0
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.3260617435551243,-20.411447835467634,9,0.001,10.0
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.1644972561876923,-15.671737668046795,9,0.001,10.0
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.47047639542235054,-3.0010039974409253,9,0.001,10.0
0.15,reference_k8,srht_paired,hadamard_paired,0.013824124696816745,observed,0.12008733494385737,-0.028717135422944295,9,0.001,10.0
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.39646301353101165,-18.937340979870534,9,0.001,10.0
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.3383249919965099,-17.792262387997233,9,0.001,10.0
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.3190365967762485,-10.476426166676319,9,0.001,10.0
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.3586369305034438,-2.123802075096375,9,0.001,10.0
0.15,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.4188806873453679,-0.06682086738871007,9,0.001,10.0
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.6693070518988673,-20.266378838117497,9,0.001,10.0
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.14379318272551345,-19.896820862329612,9,0.001,10.0
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.22992843969171695,-13.918724157542957,9,0.001,10.0
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.47155595491005187,-2.7830554335553153,9,0.001,10.0
0.15,scgi_proxy,srht_paired,hadamard_paired,0.024286034506079225,observed,0.11514989316259694,-0.11489119389990066,9,0.001,10.0
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.11350585451419626,-10.18518305791949,9,0.001,10.0
0.3,agc,random_binary,hadamard_paired,2.065100041927084,observed,0.044939720551136375,-9.221925126198963,9,0.001,10.0
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.047972128123831226,-2.773532309782098,9,0.001,10.0
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.10389789279940409,-2.236249921528593,9,0.001,10.0
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.38942236293126,0.10566640570605657,9,0.001,10.0
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.16433794198835194,-13.797169186906734,9,0.001,10.0
0.3,none,random_binary,hadamard_paired,8.157032240532475,observed,0.002123644129875757,-13.225670356712923,9,0.001,10.0
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.01835741170808447,-5.129701096254099,9,0.001,10.0
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.11685182137100725,-1.5114749574154978,9,0.001,10.0
0.3,none,srht_paired,hadamard_paired,0.001,left_censored,0.14773878106948146,-0.04469498441559949,9,0.001,10.0
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.13718277603143214,-2.9537839780996684,9,0.001,10.0
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0815146309965531,0.026285993334653313,9,0.001,10.0
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.23043878606670987,-16.856471512874663,9,0.001,10.0
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.0057019700598477385,-16.895987088867876,9,0.001,10.0
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.02526432466146389,-12.24861351356693,9,0.001,10.0
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.16834712946525343,-2.989936660919515,9,0.001,10.0
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.05486287546028379,0.020306201920995193,9,0.001,10.0
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.19365495715418746,-15.392623114516953,9,0.001,10.0
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.08666099639645175,-14.596107262442386,9,0.001,10.0
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.007491762650078115,-9.813090629872608,9,0.001,10.0
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.0972041451926291,-2.851942655468868,9,0.001,10.0
0.3,reference_k32,srht_paired,hadamard_paired,0.031958147248158736,observed,0.0637473235221595,-0.10558181456724824,9,0.001,10.0
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.1815900620772286,-14.836338087007674,9,0.001,10.0
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.05214421153465487,-14.577380207827623,9,0.001,10.0
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.028798882170102402,-10.189330327670596,9,0.001,10.0
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.10895664853147657,-2.9618480225833963,9,0.001,10.0
