arm,pixel_perm,sign_flip,row_perm,object,family,K_eff,draw,num_frames,chunks,levene_p,levene_reject,ks_absdev_p,local_std_envelope_cv,running_mean_cv,walsh_flatness_ratio,walsh_S2
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,4,8192,8,0.05627278768797832,False,0.5881996235329463,0.3232328006393551,0.0006254140171222389,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,5,8192,8,0.03332048500404878,False,0.1426043426418189,0.27569312468238305,0.0006234382162801921,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,6,8192,8,0.0019392516403253168,False,0.19162747608137745,0.3337253212513842,0.0006252240855246782,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,7,8192,8,0.6027811880364053,False,0.2528489707948772,0.16713433876485606,0.001010371372103691,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,8,8192,8,0.08797488463481568,False,0.15768020016074424,0.3115399144182128,0.0006251760059967637,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,9,8192,8,0.01612230986412668,False,0.3846776733386625,0.2974326521051833,0.0006220709765329957,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,10,8192,8,0.28695671942958195,False,0.2106117312437866,0.27608775860764,0.0006497606518678367,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,11,8192,8,0.22057947612333811,False,0.30102473544932307,0.2875349105159782,0.0006953346892260015,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,12,8192,8,0.007737442173047606,False,0.17400184819348116,0.30341631024424276,0.0007450200500898063,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,13,8192,8,0.16754269724744097,False,0.5160126480775404,0.2369382968978324,0.0006226424011401832,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,14,8192,8,0.036567559715693344,False,0.11594604307134228,0.2526003600566105,0.0010915376478806138,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,15,8192,8,0.10543334334458258,False,0.06676845546321923,0.2755688297700558,0.0006479087751358747,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,16,8192,8,0.22706546475790315,False,0.2106117312437866,0.25793858441605694,0.0006252166931517422,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,17,8192,8,0.006160539854514202,False,0.12871365699514015,0.3458339586089602,0.0006251431768760085,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,18,8192,8,0.47621199573785367,False,0.15768020016074424,0.26538451265595375,0.0007571522728540003,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,19,8192,8,0.006120613242761775,False,0.15768020016074424,0.33622899487453095,0.0008160126162692904,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,20,8192,8,0.06324724645709903,False,0.4477726962171573,0.2792961748980315,0.0006243353127501905,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,21,8192,8,0.06456304519779132,False,0.3273936805515063,0.27637399440996807,0.0006223033415153623,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,22,8192,8,0.5672129445805798,False,0.0748541981952452,0.17988115622438797,0.0005980618298053741,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,23,8192,8,1.3366191751479807e-05,True,0.3846776733386625,0.38276224732653075,0.0006306541035883129,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,24,8192,8,3.7565738047190193e-05,True,0.3273936805515063,0.43960536944363493,0.0006237155175767839,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,25,8192,8,0.07652134931236644,False,0.5160126480775404,0.30958976235997065,0.0006244692485779524,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,26,8192,8,0.013076089258129113,False,0.08375446455030607,0.22288521314850357,0.0006201100768521428,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,27,8192,8,0.00016275418436445643,True,0.35528493510324566,0.3466614156495214,0.000617105164565146,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,28,8192,8,0.13022174471588974,False,0.35528493510324566,0.2654179948811798,0.002088873879984021,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,29,8192,8,0.004482004659751416,False,0.3273936805515063,0.287784015447862,0.0006264869007281959,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,30,8192,8,0.02943552433391784,False,0.05281103310910518,0.2779385077524224,0.0006236866465769708,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_1,synthetic_digit,613.715691926159,31,8192,8,0.022211980319758542,False,0.0748541981952452,0.2448648340367546,0.006169424392282963,0.7881399383302821,581.3885129106121
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,0,8192,8,0.01037797432312218,False,0.19162747608137745,0.7580523639012322,0.0005097784451209009,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,1,8192,8,0.19525812352544664,False,0.3846776733386625,0.6646199602754927,0.0005010282620787621,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,2,8192,8,0.0005327962652383188,True,0.15768020016074424,0.7916760546743965,0.0005031993496231735,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,3,8192,8,0.010096073925943281,False,0.1426043426418189,0.7440572456504588,0.0005076536908745766,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,4,8192,8,0.056108793944398716,False,0.3273936805515063,0.7147651248967578,0.0005026594153605402,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,5,8192,8,0.021333541296554275,False,0.2106117312437866,0.719324993364938,0.0005033968482166529,0.9997825829661462,916.4386222462547
row_perm_only,False,False,True,digit_2,synthetic_digit,948.8780926075453,6,8192,8,0.1719597718590785,False,0.06676845546321923,0.5812311329088532,0.0005013234331272542,0.9997825829661462,916.4386222462547
