config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0010,1,2.760119676589966,2.760119676589966,7.516624927520752,7.516624927520752,0.17285124957561493,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.1
cfg0023,1,2.7541985511779785,2.7541985511779785,7.6412177085876465,7.6412177085876465,0.02360924333333969,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.12
cfg0011,1,2.722565174102783,2.722565174102783,7.487972259521484,7.487972259521484,0.1661263406276703,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.12
cfg0031,1,2.6952579021453857,2.6952579021453857,6.880118370056152,6.880118370056152,0.027561267837882042,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.12
cfg0014,1,2.6932780742645264,2.6932780742645264,7.2294416427612305,7.2294416427612305,0.08627752959728241,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.1
cfg0030,1,2.6801555156707764,2.6801555156707764,6.8997483253479,6.8997483253479,0.028757836669683456,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.1
cfg0008,1,2.6548967361450195,2.6548967361450195,7.538924694061279,7.538924694061279,0.18552160263061523,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0045,1,2.6423380374908447,2.6423380374908447,6.7672834396362305,6.7672834396362305,0.015969639644026756,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.08
cfg0015,1,2.5353147983551025,2.5353147983551025,7.220653533935547,7.220653533935547,0.07756385207176208,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.12
cfg0036,1,2.3940463066101074,2.3940463066101074,8.303067207336426,8.303067207336426,0.04639767110347748,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.06
cfg0047,1,2.3718371391296387,2.3718371391296387,6.592451095581055,6.592451095581055,0.0062388158403337,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.12
cfg0046,1,2.1574370861053467,2.1574370861053467,6.632392406463623,6.632392406463623,-0.001724760513752699,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.1
cfg0021,1,2.0227997303009033,2.0227997303009033,7.824844837188721,7.824844837188721,0.009456655941903591,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.08
cfg0039,1,1.6795973777770996,1.6795973777770996,7.649545192718506,7.649545192718506,0.01978081837296486,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.12
cfg0017,1,1.6737914085388184,1.6737914085388184,1.2407150268554688,1.2407150268554688,0.005570528097450733,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.08
cfg0037,1,1.6575300693511963,1.6575300693511963,7.005553245544434,7.005553245544434,0.007851561531424522,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.08
cfg0034,1,1.6183478832244873,1.6183478832244873,1.568213701248169,1.568213701248169,0.006693098694086075,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.1
cfg0035,1,1.5369184017181396,1.5369184017181396,1.6119061708450317,1.6119061708450317,0.0030709970742464066,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.12
cfg0038,1,1.4964410066604614,1.4964410066604614,7.260259628295898,7.260259628295898,-0.00018775812350213528,200,0.001,0.5,0.25,0.25,24,3,0.3,nlm,3,0.1
cfg0033,1,1.439306378364563,1.439306378364563,1.3559222221374512,1.3559222221374512,0.00972788780927658,200,0.001,0.5,0.25,0.1,24,3,0.3,nlm,3,0.08
cfg0018,1,1.36907160282135,1.36907160282135,1.1703286170959473,1.1703286170959473,0.0022874069400131702,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.1
cfg0019,1,1.2821968793869019,1.2821968793869019,1.15586256980896,1.15586256980896,0.0017018024809658527,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.12
cfg0001,1,1.2179391384124756,1.2179391384124756,1.2934242486953735,1.2934242486953735,0.009539615362882614,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.08
cfg0002,1,1.2155773639678955,1.2155773639678955,1.2825887203216553,1.2825887203216553,0.007705850061029196,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.1
