config_id,object,step,loss,cnr
cfg0000,stripe_target,46,0.04518597945570946,0.6902221441268921
cfg0000,stripe_target,47,0.0733053907752037,0.33618128299713135
cfg0000,stripe_target,48,0.10156137496232986,0.25935834646224976
cfg0000,stripe_target,49,0.12540529668331146,0.2082504779100418
cfg0000,stripe_target,50,0.14090663194656372,0.1821906417608261
cfg0000,stripe_target,51,0.14538536965847015,0.19008402526378632
cfg0000,stripe_target,52,0.138657346367836,0.23441147804260254
cfg0000,stripe_target,53,0.1212276816368103,0.3068291246891022
cfg0000,stripe_target,54,0.09566619247198105,0.4620354175567627
cfg0000,stripe_target,55,0.06597427278757095,1.7411476373672485
cfg0000,stripe_target,56,0.037065837532281876,4.575863361358643
cfg0000,stripe_target,57,0.014085407368838787,3.885183572769165
cfg0000,stripe_target,58,0.0016386403003707528,3.437941789627075
cfg0000,stripe_target,59,0.0030175773426890373,2.8375635147094727
cfg0000,stripe_target,60,0.019457504153251648,1.6663315296173096
cfg0000,stripe_target,61,0.04953969642519951,0.1122950091958046
cfg0000,stripe_target,62,0.08935167640447617,0.08584695309400558
cfg0000,stripe_target,63,0.13334746658802032,0.07933622598648071
cfg0000,stripe_target,64,0.17531880736351013,0.06664187461137772
cfg0000,stripe_target,65,0.20933623611927032,0.06274008750915527
cfg0000,stripe_target,66,0.23058860003948212,0.06012604385614395
cfg0000,stripe_target,67,0.23604519665241241,0.06038927286863327
cfg0000,stripe_target,68,0.2248685210943222,0.0628604143857956
cfg0000,stripe_target,69,0.1985434889793396,0.0669831857085228
cfg0000,stripe_target,70,0.1606847494840622,0.07270307093858719
cfg0000,stripe_target,71,0.11657965928316116,0.11445974558591843
cfg0000,stripe_target,72,0.07249469310045242,1.2717589139938354
cfg0000,stripe_target,73,0.0348532572388649,2.099879503250122
cfg0000,stripe_target,74,0.00937135424464941,2.509237289428711
cfg0000,stripe_target,75,0.00026407212135381997,2.9771127700805664
cfg0000,stripe_target,76,0.00961000844836235,2.4094083309173584
cfg0000,stripe_target,77,0.036952678114175797,0.5726184248924255
cfg0000,stripe_target,78,0.07924043387174606,0.22886955738067627
cfg0000,stripe_target,79,0.13122159242630005,0.10311233252286911
cfg0000,stripe_target,80,0.18623332679271698,0.04551590606570244
cfg0000,stripe_target,81,0.23716972768306732,0.03137604147195816
cfg0000,stripe_target,82,0.27745747566223145,0.029598375782370567
cfg0000,stripe_target,83,0.3019223213195801,0.028508026152849197
cfg0000,stripe_target,84,0.30744999647140503,0.028818704187870026
cfg0000,stripe_target,85,0.29337072372436523,0.030234145000576973
cfg0000,stripe_target,86,0.26152315735816956,0.03773527219891548
cfg0000,stripe_target,87,0.21599988639354706,0.08497768640518188
cfg0000,stripe_target,88,0.16261295974254608,0.21793270111083984
cfg0000,stripe_target,89,0.10815358906984329,0.5472611784934998
cfg0000,stripe_target,90,0.05954183638095856,3.452672004699707
cfg0000,stripe_target,91,0.02297200821340084,3.7744967937469482
cfg0000,stripe_target,92,0.0031543432269245386,3.251467704772949
cfg0000,stripe_target,93,0.0027363644912838936,2.5265707969665527
cfg0000,stripe_target,94,0.0219668447971344,0.4304582178592682
cfg0000,stripe_target,95,0.05863821506500244,0.041823480278253555
cfg0000,stripe_target,96,0.10833956301212311,0.04185861721634865
cfg0000,stripe_target,97,0.16501513123512268,0.021804723888635635
cfg0000,stripe_target,98,0.22175104916095734,-0.010871507227420807
cfg0000,stripe_target,99,0.27166548371315,-0.017610380426049232
