config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss
cfg0010,10,10,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.1,2.760119676589966,7.516624927520752,0.17285124957561493,0.004685729742050171,0.9740339702575446,3.779665946960449,0.0005776069592684507
cfg0011,11,11,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.12,2.722565174102783,7.487972259521484,0.1661263406276703,0.004685729742050171,0.9740339702575446,3.7165374755859375,0.0005855029448866844
cfg0012,12,12,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.06,3.3076019287109375,7.402843475341797,0.15396785736083984,0.004685729742050171,0.9740339702575446,3.421428680419922,0.0002526173775549978
cfg0013,13,13,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.08,3.0371692180633545,7.293702125549316,0.10813985764980316,0.004685729742050171,0.9740339702575446,3.221691846847534,0.0003233533934690058
cfg0014,14,14,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.1,2.6932780742645264,7.2294416427612305,0.08627752959728241,0.004685729742050171,0.9740339702575446,3.2207491397857666,0.0003774619835894555
cfg0015,15,15,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.12,2.5353147983551025,7.220653533935547,0.07756385207176208,0.004685729742050171,0.9740339702575446,3.180847644805908,0.0003792090283241123
cfg0016,16,16,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.06,1.0747148990631104,1.2389171123504639,0.009377509355545044,0.004685729742050171,0.9740339702575446,8.217822074890137,0.0639815628528595
cfg0017,17,17,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.08,1.6737914085388184,1.2407150268554688,0.005570528097450733,0.004685729742050171,0.9740339702575446,7.801931381225586,0.06179206073284149
cfg0018,18,18,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.1,1.36907160282135,1.1703286170959473,0.0022874069400131702,0.004685729742050171,0.9740339702575446,6.164307117462158,0.06256357580423355
cfg0019,19,19,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.12,1.2821968793869019,1.15586256980896,0.0017018024809658527,0.004685729742050171,0.9740339702575446,5.142920970916748,0.06269963085651398
cfg0020,20,20,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.06,2.889781951904297,8.189142227172852,0.07359518110752106,0.004685729742050171,0.9740339702575446,8.62624740600586,0.0018189242109656334
cfg0021,21,21,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.08,2.0227997303009033,7.824844837188721,0.009456655941903591,0.004685729742050171,0.9740339702575446,7.339540481567383,0.0015060664154589176
cfg0022,22,22,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.1,3.512305974960327,7.640448570251465,0.05100177228450775,0.004685729742050171,0.9740339702575446,5.93975830078125,0.0005430308519862592
cfg0023,23,23,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.12,2.7541985511779785,7.6412177085876465,0.02360924333333969,0.004685729742050171,0.9740339702575446,5.351033687591553,0.0006893548415973783
cfg0024,24,24,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.06,3.322108030319214,7.585106372833252,0.180801659822464,0.004685729742050171,0.9740339702575446,5.028441429138184,0.0007386654615402222
cfg0025,25,25,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.08,3.7002193927764893,7.479671955108643,0.1650267243385315,0.004685729742050171,0.9740339702575446,5.494696617126465,0.0009221601067110896
cfg0026,26,26,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.1,3.6197495460510254,7.3646392822265625,0.1430779993534088,0.004685729742050171,0.9740339702575446,5.353512287139893,0.00101980019826442
cfg0027,27,27,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.12,3.45574688911438,7.258248329162598,0.1253795623779297,0.004685729742050171,0.9740339702575446,5.0653076171875,0.0010882008355110884
cfg0028,28,28,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.06,3.472555637359619,7.067504405975342,0.058828823268413544,0.004685729742050171,0.9740339702575446,4.195087909698486,0.0003504385822452605
cfg0029,29,29,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.08,3.018721580505371,6.959848880767822,0.04164023697376251,0.004685729742050171,0.9740339702575446,5.222026824951172,0.0003413885715417564
