object,family,K_eff,basis,requested_basis,arm_kind,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,theory_floor,err_over_floor
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,2,512,1024,7.334165275096893e-09,887298752.0,0.9011337835474112,1537693506446792.0,39213435.27984754,2.2980230554055013e-08
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,4,1024,7.334165275096893e-09,887298752.0,0.9240428579379264,1.9682476882518938e+17,443649376.0,2.082822399682416e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,8,1024,7.334165275096893e-09,887298752.0,0.9369175492127717,9.841238441259469e+16,313707482.2387803,2.986596119819773e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,16,1024,7.334165275096893e-09,887298752.0,0.9612495323053328,4.920619220629734e+16,221824688.0,4.333374887042928e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,32,1024,7.334165275096893e-09,887298752.0,0.9776996662722766,2.460309610314867e+16,156853741.11939016,6.233193160041332e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,64,1024,7.334165275096893e-09,887298752.0,0.9800993379017336,1.2301548051574336e+16,110912344.0,8.836702052764602e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,128,1024,7.334165275096893e-09,887298752.0,0.9712291361178074,6150774025787168.0,78426870.55969508,1.2383882324853833e-08
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,256,1024,7.334165275096893e-09,887298752.0,0.9486635906772387,3075387012893584.0,55456172.0,1.7106546601832503e-08
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,3,512,1024,7.334165275096893e-09,887298752.0,0.8970140524453393,1537693506446792.0,39213435.27984754,2.2875171380517388e-08
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,4,1024,7.334165275096893e-09,887298752.0,0.9209368541734093,1.9682476882518938e+17,443649376.0,2.075821367036949e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,8,1024,7.334165275096893e-09,887298752.0,0.9291405116007042,9.841238441259469e+16,313707482.2387803,2.961805389434363e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,16,1024,7.334165275096893e-09,887298752.0,0.9531711353853773,4.920619220629734e+16,221824688.0,4.296956952714737e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,32,1024,7.334165275096893e-09,887298752.0,0.9758461720087375,2.460309610314867e+16,156853741.11939016,6.221376455828148e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,64,1024,7.334165275096893e-09,887298752.0,0.9817834801047055,1.2301548051574336e+16,110912344.0,8.851886496102774e-09
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,128,1024,7.334165275096893e-09,887298752.0,0.9760450239679278,6150774025787168.0,78426870.55969508,1.2445288419675056e-08
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,256,1024,7.334165275096893e-09,887298752.0,0.9549851069148282,3075387012893584.0,55456172.0,1.722053781344353e-08
letter_A,binary_letter,101.21359062702473,hadamard_raw_ordered,hadamard_raw_ordered,raw,0.01,0.1,4,512,1024,7.334165275096893e-09,887298752.0,0.9080035587835307,1537693506446792.0,39213435.27984754,2.3155419878507033e-08
