sigma_a,rho,seed,object,rel_mse_raw
0.1,0.1,0,1,0.49802490828557294
0.1,0.1,0,2,0.47856938743369404
0.1,0.1,0,3,0.5095086513830182
0.1,0.1,0,4,0.5442038177897971
0.1,0.1,0,5,0.49345122500709127
0.1,0.1,0,6,0.4846212818669672
0.1,0.1,0,7,0.5267528356505886
0.1,0.1,0,8,0.5043874839080347
0.1,0.1,0,9,0.5066149290278036
0.1,0.1,1,0,0.4923020023464023
0.1,0.1,1,1,0.4980248753216352
0.1,0.1,1,2,0.47856935082464624
0.1,0.1,1,3,0.5095086611333786
0.1,0.1,1,4,0.5442038039823267
0.1,0.1,1,5,0.4934512012268894
0.1,0.1,1,6,0.4846212646396875
0.1,0.1,1,7,0.5267529343548613
0.1,0.1,1,8,0.5043874291526423
0.1,0.1,1,9,0.5066149144516748
0.1,0.1,2,0,0.49230200393785367
0.1,0.1,2,1,0.49802487867165457
0.1,0.1,2,2,0.4785693460588921
0.1,0.1,2,3,0.509508632398202
0.1,0.1,2,4,0.5442037952529815
0.1,0.1,2,5,0.49345126082861135
0.1,0.1,2,6,0.48462119911280077
0.1,0.1,2,7,0.5267528544723149
0.1,0.1,2,8,0.5043874597952495
0.1,0.1,2,9,0.5066149008178208
0.1,0.1,3,0,0.4923020136125798
0.1,0.1,3,1,0.4980249052079513
0.1,0.1,3,2,0.4785693419265844
0.1,0.1,3,3,0.5095086320138063
0.1,0.1,3,4,0.5442038258949022
0.1,0.1,3,5,0.4934512261856255
0.1,0.1,3,6,0.48462128499019885
0.1,0.1,3,7,0.5267528636150941
0.1,0.1,3,8,0.5043874567057034
0.1,0.1,3,9,0.5066149382654027
0.1,0.1,4,0,0.4923020416322051
0.1,0.1,4,1,0.4980248783588206
0.1,0.1,4,2,0.4785693553634266
0.1,0.1,4,3,0.5095086406736509
0.1,0.1,4,4,0.544203801707982
0.1,0.1,4,5,0.49345117857028187
0.1,0.1,4,6,0.484621223734098
0.1,0.1,4,7,0.5267529187680762
0.1,0.1,4,8,0.5043874422024424
0.1,0.1,4,9,0.506614963819418
0.1,0.3,0,0,0.4923020132449331
0.1,0.3,0,1,0.49802489863954436
0.1,0.3,0,2,0.47856934794833667
0.1,0.3,0,3,0.5095086404818256
0.1,0.3,0,4,0.5442037725242262
0.1,0.3,0,5,0.49345120479988913
0.1,0.3,0,6,0.4846213089515672
0.1,0.3,0,7,0.5267528881610473
0.1,0.3,0,8,0.5043874572692857
0.1,0.3,0,9,0.5066149485049298
0.1,0.3,1,0,0.49230202723603794
0.1,0.3,1,1,0.4980248728239589
0.1,0.3,1,2,0.478569372935117
0.1,0.3,1,3,0.5095086848381417
0.1,0.3,1,4,0.5442037973498796
0.1,0.3,1,5,0.4934512241519466
0.1,0.3,1,6,0.4846212264263977
0.1,0.3,1,7,0.5267527912008686
0.1,0.3,1,8,0.504387486668623
0.1,0.3,1,9,0.5066149512224346
0.1,0.3,2,0,0.49230204123538873
0.1,0.3,2,1,0.4980249195866965
0.1,0.3,2,2,0.4785693249229489
0.1,0.3,2,3,0.5095086633677783
0.1,0.3,2,4,0.5442038138019847
0.1,0.3,2,5,0.49345118134034355
0.1,0.3,2,6,0.48462124571258003
0.1,0.3,2,7,0.5267528535087347
0.1,0.3,2,8,0.5043874754025555
0.1,0.3,2,9,0.5066149922459638
0.1,0.3,3,0,0.4923020038189362
0.1,0.3,3,1,0.4980248954975719
0.1,0.3,3,2,0.47856936249941967
0.1,0.3,3,3,0.5095086256393847
0.1,0.3,3,4,0.5442037844933542
0.1,0.3,3,5,0.49345119785209635
0.1,0.3,3,6,0.4846212135187608
0.1,0.3,3,7,0.5267529252989859
0.1,0.3,3,8,0.5043874517196962
0.1,0.3,3,9,0.5066149450660022
0.1,0.3,4,0,0.49230200829872756
0.1,0.3,4,1,0.4980249034304798
0.1,0.3,4,2,0.47856929055002034
0.1,0.3,4,3,0.5095086773427194
0.1,0.3,4,4,0.5442037942611405
0.1,0.3,4,5,0.49345120495119915
0.1,0.3,4,6,0.48462125146989926
0.1,0.3,4,7,0.5267528654244652
0.1,0.3,4,8,0.5043874487746297
0.1,0.3,4,9,0.5066149187231239
0.1,1.0,0,0,0.4923019898627243
0.1,1.0,0,1,0.49802489139696493
0.1,1.0,0,2,0.47856936140784506
0.1,1.0,0,3,0.5095086353682781
0.1,1.0,0,4,0.5442038337569847
0.1,1.0,0,5,0.49345118517697106
0.1,1.0,0,6,0.4846211981416343
0.1,1.0,0,7,0.5267528896633212
0.1,1.0,0,8,0.5043874386614403
0.1,1.0,0,9,0.5066149614848717
0.1,1.0,1,0,0.4923019954456484
0.1,1.0,1,1,0.4980248860373288
0.1,1.0,1,2,0.4785693713043199
0.1,1.0,1,3,0.5095086663333238
0.1,1.0,1,4,0.5442038322300323
0.1,1.0,1,5,0.4934511769086498
0.1,1.0,1,6,0.48462120975027834
0.1,1.0,1,7,0.526752874871019
0.1,1.0,1,8,0.5043874623529605
0.1,1.0,1,9,0.50661498621948
0.1,1.0,2,0,0.49230204179535686
0.1,1.0,2,1,0.4980248711681672
0.1,1.0,2,2,0.478569357285053
0.1,1.0,2,3,0.509508642288638
0.1,1.0,2,4,0.5442037997285358
0.1,1.0,2,5,0.4934511754201571
0.1,1.0,2,6,0.48462127559590573
0.1,1.0,2,7,0.526752824380402
0.1,1.0,2,8,0.5043874637711209
0.1,1.0,2,9,0.5066149597293836
0.1,1.0,3,0,0.49230201162735066
0.1,1.0,3,1,0.49802490200417926
0.1,1.0,3,2,0.4785693189266991
0.1,1.0,3,3,0.5095086574141319
0.1,1.0,3,4,0.5442038185156058
0.1,1.0,3,5,0.4934511827003417
0.1,1.0,3,6,0.48462126797168176
0.1,1.0,3,7,0.5267528269262359
0.1,1.0,3,8,0.5043874427419743
0.1,1.0,3,9,0.5066149717800772
0.1,1.0,4,0,0.49230199102342287
0.1,1.0,4,1,0.49802487719106503
0.1,1.0,4,2,0.47856933117391043
0.1,1.0,4,3,0.5095086150768333
0.1,1.0,4,4,0.5442038127422462
0.1,1.0,4,5,0.4934511558104842
0.1,1.0,4,6,0.4846212003033175
0.1,1.0,4,7,0.5267528184759519
0.1,1.0,4,8,0.5043874900938606
0.1,1.0,4,9,0.5066149405797076
0.1,3.0,0,0,0.4923020130635165
0.1,3.0,0,1,0.498024904639415
0.1,3.0,0,2,0.478569338645512
0.1,3.0,0,3,0.5095086682285098
0.1,3.0,0,4,0.5442037804479977
0.1,3.0,0,5,0.49345119517291725
0.1,3.0,0,6,0.48462123245058675
0.1,3.0,0,7,0.526752917800071
0.1,3.0,0,8,0.5043874682761952
0.1,3.0,0,9,0.506614967199161
0.1,3.0,1,0,0.49230199631308835
0.1,3.0,1,1,0.4980248571003729
0.1,3.0,1,2,0.4785693706594335
0.1,3.0,1,3,0.5095086813673548
0.1,3.0,1,4,0.5442037826756362
0.1,3.0,1,5,0.49345121914704565
0.1,3.0,1,6,0.4846212260194229
0.1,3.0,1,7,0.5267528309148476
0.1,3.0,1,8,0.5043875160861148
0.1,3.0,1,9,0.5066149180945644
0.1,3.0,2,0,0.49230202770103876
0.1,3.0,2,1,0.4980248744157359
0.1,3.0,2,2,0.4785693508537338
0.1,3.0,2,3,0.5095086440157467
0.1,3.0,2,4,0.5442038058329446
0.1,3.0,2,5,0.493451195490377
0.1,3.0,2,6,0.4846212278899227
0.1,3.0,2,7,0.5267528125597158
0.1,3.0,2,8,0.5043874899140864
0.1,3.0,2,9,0.5066149118040657
0.1,3.0,3,0,0.4923020155939296
0.1,3.0,3,1,0.4980248687799849
0.1,3.0,3,2,0.47856936813755635
0.1,3.0,3,3,0.5095086312515503
0.1,3.0,3,4,0.5442037999863396
0.1,3.0,3,5,0.49345123462595797
0.1,3.0,3,6,0.48462125481506574
0.1,3.0,3,7,0.5267529527855671
0.1,3.0,3,8,0.504387473798184
0.1,3.0,3,9,0.5066149559095384
0.1,3.0,4,0,0.49230200347954584
0.1,3.0,4,1,0.4980248873189399
0.1,3.0,4,2,0.4785693806142435
0.1,3.0,4,3,0.5095086906107799
0.1,3.0,4,4,0.5442037913918549
0.1,3.0,4,5,0.49345116489791685
0.1,3.0,4,6,0.48462126873166184
0.1,3.0,4,7,0.5267528178377391
0.1,3.0,4,8,0.5043874527467942
0.1,3.0,4,9,0.5066149301216769
0.1,10.0,0,0,0.49230199342010245
0.1,10.0,0,1,0.49802487254128375
0.1,10.0,0,2,0.4785693852354127
0.1,10.0,0,3,0.5095086448038676
0.1,10.0,0,4,0.5442038073723447
0.1,10.0,0,5,0.49345120971042206
0.1,10.0,0,6,0.4846212113115441
0.1,10.0,0,7,0.5267528790698647
0.1,10.0,0,8,0.5043875008303074
0.1,10.0,0,9,0.5066149683448303
0.1,10.0,1,0,0.4923019790448875
0.1,10.0,1,1,0.4980248688908864
0.1,10.0,1,2,0.4785693565720648
0.1,10.0,1,3,0.5095086497809619
0.1,10.0,1,4,0.5442037616981743
0.1,10.0,1,5,0.4934512417477856
0.1,10.0,1,6,0.48462125162581926
0.1,10.0,1,7,0.5267529059160831
0.1,10.0,1,8,0.5043874352229533
0.1,10.0,1,9,0.5066149574489954
0.1,10.0,2,0,0.49230202265765477
0.1,10.0,2,1,0.4980248979720159
0.1,10.0,2,2,0.47856936269818423
0.1,10.0,2,3,0.5095086207097904
0.1,10.0,2,4,0.5442038073454711
0.1,10.0,2,5,0.4934512299079607
0.1,10.0,2,6,0.48462121497425725
0.1,10.0,2,7,0.5267528228209831
0.1,10.0,2,8,0.5043875360111866
0.1,10.0,2,9,0.506614982199965
0.1,10.0,3,0,0.49230199194399715
0.1,10.0,3,1,0.4980249055286139
0.1,10.0,3,2,0.4785693775934246
0.1,10.0,3,3,0.5095086351486222
0.1,10.0,3,4,0.5442037903355511
0.1,10.0,3,5,0.49345121065557096
0.1,10.0,3,6,0.4846212590814943
0.1,10.0,3,7,0.5267528580506454
0.1,10.0,3,8,0.5043874594332374
0.1,10.0,3,9,0.5066149470665052
0.1,10.0,4,0,0.4923019766227559
0.1,10.0,4,1,0.4980248559684408
0.1,10.0,4,2,0.47856934825504055
0.1,10.0,4,3,0.5095086500222932
0.1,10.0,4,4,0.544203821302121
0.1,10.0,4,5,0.49345123434250787
0.1,10.0,4,6,0.48462122307742844
0.1,10.0,4,7,0.5267528085511167
0.1,10.0,4,8,0.504387456471439
0.1,10.0,4,9,0.5066149709920195
0.15,0.001,0,0,0.4923019951119791
0.15,0.001,0,1,0.49802492302645984
0.15,0.001,0,2,0.4785693564688242
0.15,0.001,0,3,0.5095086821745004
0.15,0.001,0,4,0.5442038238216499
0.15,0.001,0,5,0.49345120125427927
0.15,0.001,0,6,0.4846212140700032
0.15,0.001,0,7,0.5267528621645713
0.15,0.001,0,8,0.5043874972213424
0.15,0.001,0,9,0.5066149228442377
0.15,0.001,1,0,0.4923019898497197
0.15,0.001,1,1,0.49802488208260054
0.15,0.001,1,2,0.4785693565983835
0.15,0.001,1,3,0.5095086468410508
0.15,0.001,1,4,0.5442038070314882
0.15,0.001,1,5,0.4934511967864316
0.15,0.001,1,6,0.4846212078959142
0.15,0.001,1,7,0.5267529191985412
0.15,0.001,1,8,0.5043874589091241
0.15,0.001,1,9,0.5066149236314824
0.15,0.001,2,0,0.49230202535852496
0.15,0.001,2,1,0.4980249023754237
0.15,0.001,2,2,0.4785693553579412
0.15,0.001,2,3,0.5095086448642174
0.15,0.001,2,4,0.5442037774110844
0.15,0.001,2,5,0.49345121735402886
0.15,0.001,2,6,0.4846212290991291
0.15,0.001,2,7,0.5267528975912099
0.15,0.001,2,8,0.504387492315025
0.15,0.001,2,9,0.5066149740966501
0.15,0.001,3,0,0.4923020185546737
0.15,0.001,3,1,0.4980249134018499
0.15,0.001,3,2,0.47856937671035993
0.15,0.001,3,3,0.5095086753281922
0.15,0.001,3,4,0.5442037887848549
0.15,0.001,3,5,0.4934511998283579
0.15,0.001,3,6,0.4846211954516359
0.15,0.001,3,7,0.5267529212078992
0.15,0.001,3,8,0.5043874502689791
0.15,0.001,3,9,0.5066149457441083
0.15,0.001,4,0,0.49230201237828475
0.15,0.001,4,1,0.4980248973786746
0.15,0.001,4,2,0.47856936177285825
0.15,0.001,4,3,0.5095086471972912
0.15,0.001,4,4,0.5442037524405443
0.15,0.001,4,5,0.49345126378998255
0.15,0.001,4,6,0.4846212215498253
0.15,0.001,4,7,0.5267528375097531
0.15,0.001,4,8,0.5043874698171319
0.15,0.001,4,9,0.5066149661042781
0.15,0.003,0,0,0.49230202006400114
0.15,0.003,0,1,0.49802489139005757
0.15,0.003,0,2,0.47856935827206754
0.15,0.003,0,3,0.5095086462488116
0.15,0.003,0,4,0.5442037902941702
0.15,0.003,0,5,0.4934512312128904
0.15,0.003,0,6,0.48462122195711965
0.15,0.003,0,7,0.5267528804973758
0.15,0.003,0,8,0.5043874852823237
0.15,0.003,0,9,0.5066149654163035
0.15,0.003,1,0,0.4923020130275261
0.15,0.003,1,1,0.49802489505758896
0.15,0.003,1,2,0.47856936259204874
0.15,0.003,1,3,0.5095086230897811
0.15,0.003,1,4,0.5442038405531638
0.15,0.003,1,5,0.4934511737514089
0.15,0.003,1,6,0.48462128961559686
0.15,0.003,1,7,0.5267528989502798
0.15,0.003,1,8,0.504387451610596
0.15,0.003,1,9,0.5066149377569041
0.15,0.003,2,0,0.4923020500327785
0.15,0.003,2,1,0.4980248809188396
0.15,0.003,2,2,0.47856933274977886
0.15,0.003,2,3,0.5095086581055378
0.15,0.003,2,4,0.5442038451572199
0.15,0.003,2,5,0.4934512095368965
0.15,0.003,2,6,0.4846212418227415
0.15,0.003,2,7,0.5267528949689989
0.15,0.003,2,8,0.5043874976471099
0.15,0.003,2,9,0.5066149205383349
0.15,0.003,3,0,0.49230198743970766
0.15,0.003,3,1,0.4980248799328789
0.15,0.003,3,2,0.4785693669043875
0.15,0.003,3,3,0.5095086669810265
0.15,0.003,3,4,0.5442037859477619
0.15,0.003,3,5,0.49345121078980736
0.15,0.003,3,6,0.4846212688664348
0.15,0.003,3,7,0.5267529028097498
0.15,0.003,3,8,0.5043874489863092
0.15,0.003,3,9,0.5066149696389541
0.15,0.003,4,0,0.49230197937639064
0.15,0.003,4,1,0.4980248871545609
0.15,0.003,4,2,0.4785693445352372
0.15,0.003,4,3,0.5095086794195511
0.15,0.003,4,4,0.5442038122043545
0.15,0.003,4,5,0.4934512319782706
0.15,0.003,4,6,0.48462125078326945
0.15,0.003,4,7,0.5267528634518363
0.15,0.003,4,8,0.5043875091599811
0.15,0.003,4,9,0.5066149561927243
0.15,0.01,0,0,0.4923020305107359
0.15,0.01,0,1,0.4980248703338607
0.15,0.01,0,2,0.47856933974616706
0.15,0.01,0,3,0.5095086406544393
0.15,0.01,0,4,0.5442037826848075
0.15,0.01,0,5,0.49345120462419906
0.15,0.01,0,6,0.48462130796768355
0.15,0.01,0,7,0.5267528837590987
0.15,0.01,0,8,0.5043874179422702
0.15,0.01,0,9,0.5066149400710988
0.15,0.01,1,0,0.4923019783097565
0.15,0.01,1,1,0.4980248759706348
0.15,0.01,1,2,0.4785693304062464
0.15,0.01,1,3,0.5095086515478102
0.15,0.01,1,4,0.5442038185176088
0.15,0.01,1,5,0.493451236255291
0.15,0.01,1,6,0.4846211935669327
0.15,0.01,1,7,0.526752813026821
0.15,0.01,1,8,0.5043874760995123
0.15,0.01,1,9,0.5066149864645934
0.15,0.01,2,0,0.49230202563552017
0.15,0.01,2,1,0.49802488872301276
0.15,0.01,2,2,0.47856937753489653
0.15,0.01,2,3,0.5095086335606531
0.15,0.01,2,4,0.5442038312303887
0.15,0.01,2,5,0.4934512242092878
0.15,0.01,2,6,0.4846212730930905
0.15,0.01,2,7,0.5267529048103121
0.15,0.01,2,8,0.5043874971106022
0.15,0.01,2,9,0.5066149668370236
0.15,0.01,3,0,0.4923020072170732
0.15,0.01,3,1,0.49802494972931216
0.15,0.01,3,2,0.4785693590415556
0.15,0.01,3,3,0.5095086401514769
0.15,0.01,3,4,0.5442038196095996
0.15,0.01,3,5,0.4934511644031926
0.15,0.01,3,6,0.48462123381755234
0.15,0.01,3,7,0.5267528788267507
0.15,0.01,3,8,0.504387443046006
0.15,0.01,3,9,0.5066149858501704
0.15,0.01,4,0,0.4923020290632835
0.15,0.01,4,1,0.4980248486582122
0.15,0.01,4,2,0.47856934615579577
0.15,0.01,4,3,0.5095086319159547
0.15,0.01,4,4,0.5442038143753491
0.15,0.01,4,5,0.49345120074940707
0.15,0.01,4,6,0.48462121285481236
0.15,0.01,4,7,0.526752915511457
0.15,0.01,4,8,0.5043874579085914
0.15,0.01,4,9,0.5066149761071278
0.15,0.03,0,0,0.4923020300201193
0.15,0.03,0,1,0.49802489330173744
0.15,0.03,0,2,0.47856933586796563
0.15,0.03,0,3,0.5095086568274617
0.15,0.03,0,4,0.544203823084903
0.15,0.03,0,5,0.4934511662959943
0.15,0.03,0,6,0.484621195497444
0.15,0.03,0,7,0.5267528542186745
0.15,0.03,0,8,0.5043874123996994
0.15,0.03,0,9,0.5066149349785722
0.15,0.03,1,0,0.49230200732335444
0.15,0.03,1,1,0.4980248695021355
0.15,0.03,1,2,0.4785693286724746
0.15,0.03,1,3,0.5095086269986183
0.15,0.03,1,4,0.5442037552289954
0.15,0.03,1,5,0.4934512241761324
0.15,0.03,1,6,0.4846212759933534
0.15,0.03,1,7,0.5267528411766794
0.15,0.03,1,8,0.5043874318402009
0.15,0.03,1,9,0.5066149952552975
0.15,0.03,2,0,0.49230201688595154
0.15,0.03,2,1,0.49802491892071976
0.15,0.03,2,2,0.47856932510199235
0.15,0.03,2,3,0.5095086164479814
0.15,0.03,2,4,0.5442038010079923
0.15,0.03,2,5,0.49345117683998013
0.15,0.03,2,6,0.4846212495017218
0.15,0.03,2,7,0.526752806729025
0.15,0.03,2,8,0.5043874351505329
0.15,0.03,2,9,0.506614940577753
0.15,0.03,3,0,0.49230200512309596
0.15,0.03,3,1,0.4980248666316567
0.15,0.03,3,2,0.47856936943321077
0.15,0.03,3,3,0.5095086577038277
0.15,0.03,3,4,0.5442038427186532
0.15,0.03,3,5,0.4934511728579604
0.15,0.03,3,6,0.4846212987913796
0.15,0.03,3,7,0.5267529067246217
0.15,0.03,3,8,0.5043874924842754
0.15,0.03,3,9,0.5066149436915027
0.15,0.03,4,0,0.4923020042757971
0.15,0.03,4,1,0.49802490546467837
0.15,0.03,4,2,0.47856935559715447
0.15,0.03,4,3,0.5095086688798398
0.15,0.03,4,4,0.5442038160030184
0.15,0.03,4,5,0.49345120250400887
0.15,0.03,4,6,0.48462125255902744
0.15,0.03,4,7,0.526752900267782
0.15,0.03,4,8,0.5043874165952367
0.15,0.03,4,9,0.5066149047636865
0.15,0.1,0,0,0.4923020050249604
0.15,0.1,0,1,0.4980248705453904
0.15,0.1,0,2,0.47856933721768274
0.15,0.1,0,3,0.5095086592891969
0.15,0.1,0,4,0.544203814098379
0.15,0.1,0,5,0.4934512192217615
0.15,0.1,0,6,0.48462118705303137
0.15,0.1,0,7,0.5267527899589759
0.15,0.1,0,8,0.5043875211562242
0.15,0.1,0,9,0.5066150076185063
0.15,0.1,1,0,0.49230194234617314
0.15,0.1,1,1,0.4980248737359267
0.15,0.1,1,2,0.47856935910195003
0.15,0.1,1,3,0.5095086583815118
0.15,0.1,1,4,0.5442037823263592
0.15,0.1,1,5,0.49345115663556505
0.15,0.1,1,6,0.4846211986629071
0.15,0.1,1,7,0.5267528729423782
0.15,0.1,1,8,0.5043874833061748
0.15,0.1,1,9,0.5066149627549834
0.15,0.1,2,0,0.49230201171801224
0.15,0.1,2,1,0.4980248971902805
0.15,0.1,2,2,0.4785693713284688
0.15,0.1,2,3,0.5095086423000071
0.15,0.1,2,4,0.5442037508153078
0.15,0.1,2,5,0.4934511980031933
0.15,0.1,2,6,0.484621245569079
0.15,0.1,2,7,0.5267528547378696
0.15,0.1,2,8,0.5043874722906228
0.15,0.1,2,9,0.5066149029289759
0.15,0.1,3,0,0.4923020139194514
0.15,0.1,3,1,0.49802491466577214
0.15,0.1,3,2,0.47856936345899925
0.15,0.1,3,3,0.5095086616237994
0.15,0.1,3,4,0.5442037956762801
0.15,0.1,3,5,0.49345115657135336
0.15,0.1,3,6,0.4846212555750876
0.15,0.1,3,7,0.5267528382092737
0.15,0.1,3,8,0.5043874623659449
0.15,0.1,3,9,0.5066149521181816
0.15,0.1,4,0,0.4923020292787693
0.15,0.1,4,1,0.4980248648025951
0.15,0.1,4,2,0.4785693414947392
0.15,0.1,4,3,0.5095086794031084
0.15,0.1,4,4,0.5442037977547833
0.15,0.1,4,5,0.4934511616439279
0.15,0.1,4,6,0.4846211936265431
0.15,0.1,4,7,0.5267528636182175
0.15,0.1,4,8,0.5043874334923394
0.15,0.1,4,9,0.5066149216331215
0.15,0.3,0,0,0.4923020038212118
0.15,0.3,0,1,0.49802488794345334
0.15,0.3,0,2,0.4785693465396793
0.15,0.3,0,3,0.5095085996197185
0.15,0.3,0,4,0.5442038070445508
0.15,0.3,0,5,0.49345122142028824
0.15,0.3,0,6,0.48462125564667385
0.15,0.3,0,7,0.526752898028376
0.15,0.3,0,8,0.5043874921583477
0.15,0.3,0,9,0.5066149495030827
0.15,0.3,1,0,0.49230204474778694
0.15,0.3,1,1,0.49802490118143966
0.15,0.3,1,2,0.47856934653730826
0.15,0.3,1,3,0.5095086262163085
0.15,0.3,1,4,0.5442038639671462
0.15,0.3,1,5,0.49345118152706285
0.15,0.3,1,6,0.4846212664120181
0.15,0.3,1,7,0.5267529646252334
0.15,0.3,1,8,0.5043874583692398
0.15,0.3,1,9,0.5066149617112872
0.15,0.3,2,0,0.4923020336180049
0.15,0.3,2,1,0.4980249036238793
0.15,0.3,2,2,0.47856934731090417
0.15,0.3,2,3,0.5095086453773299
0.15,0.3,2,4,0.5442038018926562
0.15,0.3,2,5,0.49345122660312857
0.15,0.3,2,6,0.48462118883319955
0.15,0.3,2,7,0.5267528580184684
0.15,0.3,2,8,0.5043874840981258
0.15,0.3,2,9,0.5066149778505217
0.15,0.3,3,0,0.49230202336348744
0.15,0.3,3,1,0.49802489587677273
0.15,0.3,3,2,0.47856932444797246
0.15,0.3,3,3,0.5095086289330341
0.15,0.3,3,4,0.5442037737539797
0.15,0.3,3,5,0.4934512349666023
0.15,0.3,3,6,0.48462118620692846
0.15,0.3,3,7,0.5267528719183387
0.15,0.3,3,8,0.5043874801426328
0.15,0.3,3,9,0.5066149562301402
0.15,0.3,4,0,0.49230202909641674
0.15,0.3,4,1,0.49802486617546265
0.15,0.3,4,2,0.47856933776885935
0.15,0.3,4,3,0.5095086200509698
0.15,0.3,4,4,0.5442037911418097
0.15,0.3,4,5,0.49345116806903405
0.15,0.3,4,6,0.4846212819151855
0.15,0.3,4,7,0.5267529293225487
0.15,0.3,4,8,0.5043875278381377
0.15,0.3,4,9,0.5066149697071783
0.15,1.0,0,0,0.4923020032352291
0.15,1.0,0,1,0.49802490926829596
0.15,1.0,0,2,0.47856935609103923
0.15,1.0,0,3,0.509508630564905
0.15,1.0,0,4,0.544203846020073
0.15,1.0,0,5,0.49345123536766
0.15,1.0,0,6,0.4846212578969922
0.15,1.0,0,7,0.5267528053631528
0.15,1.0,0,8,0.5043874349107405
0.15,1.0,0,9,0.50661492800271
0.15,1.0,1,0,0.4923020051538087
0.15,1.0,1,1,0.4980248695330943
0.15,1.0,1,2,0.47856936056983834
0.15,1.0,1,3,0.5095086749933739
0.15,1.0,1,4,0.5442037605507473
0.15,1.0,1,5,0.4934511990869157
0.15,1.0,1,6,0.48462119929278746
0.15,1.0,1,7,0.526752914615258
0.15,1.0,1,8,0.5043874816636824
0.15,1.0,1,9,0.5066149490384183
0.15,1.0,2,0,0.4923020123607272
0.15,1.0,2,1,0.49802486113390715
0.15,1.0,2,2,0.47856933461665013
0.15,1.0,2,3,0.5095086860340208
0.15,1.0,2,4,0.5442037382337328
0.15,1.0,2,5,0.493451224744269
0.15,1.0,2,6,0.48462121833600147
0.15,1.0,2,7,0.5267529183696646
0.15,1.0,2,8,0.5043875223765576
0.15,1.0,2,9,0.5066149333885084
0.15,1.0,3,0,0.49230200149274633
0.15,1.0,3,1,0.4980249026576669
0.15,1.0,3,2,0.47856933617263747
0.15,1.0,3,3,0.5095086243613158
0.15,1.0,3,4,0.5442038996801287
0.15,1.0,3,5,0.4934511966010027
0.15,1.0,3,6,0.4846212301476891
0.15,1.0,3,7,0.5267529118797674
0.15,1.0,3,8,0.5043875015646075
0.15,1.0,3,9,0.506614969183827
0.15,1.0,4,0,0.492302001068627
0.15,1.0,4,1,0.49802490329026655
0.15,1.0,4,2,0.47856937500675006
0.15,1.0,4,3,0.5095086238498883
0.15,1.0,4,4,0.5442038117289454
0.15,1.0,4,5,0.49345118703971463
0.15,1.0,4,6,0.48462126396483335
0.15,1.0,4,7,0.5267528697472893
0.15,1.0,4,8,0.5043875289178961
0.15,1.0,4,9,0.5066149135421169
0.15,3.0,0,0,0.4923020208106567
0.15,3.0,0,1,0.4980248984568908
0.15,3.0,0,2,0.47856934607211576
0.15,3.0,0,3,0.5095086530984413
0.15,3.0,0,4,0.5442037787198314
0.15,3.0,0,5,0.49345124272770624
0.15,3.0,0,6,0.48462120250773894
0.15,3.0,0,7,0.5267529171011968
0.15,3.0,0,8,0.5043874501364469
0.15,3.0,0,9,0.5066149563392822
0.15,3.0,1,0,0.49230200527837426
0.15,3.0,1,1,0.49802489643057635
0.15,3.0,1,2,0.47856934096581116
0.15,3.0,1,3,0.5095086825700305
0.15,3.0,1,4,0.5442038503450102
0.15,3.0,1,5,0.49345121643493006
0.15,3.0,1,6,0.484621236305561
0.15,3.0,1,7,0.5267528257406124
0.15,3.0,1,8,0.5043875198556856
0.15,3.0,1,9,0.5066149571892375
0.15,3.0,2,0,0.49230198451978807
0.15,3.0,2,1,0.49802488593234234
0.15,3.0,2,2,0.4785693645668592
0.15,3.0,2,3,0.5095086507013892
0.15,3.0,2,4,0.5442038179844657
0.15,3.0,2,5,0.4934511957555204
0.15,3.0,2,6,0.48462124949753393
0.15,3.0,2,7,0.526752775193851
0.15,3.0,2,8,0.5043874609840248
0.15,3.0,2,9,0.5066149624263344
0.15,3.0,3,0,0.4923020497532949
0.15,3.0,3,1,0.49802490261239185
0.15,3.0,3,2,0.4785693422265952
0.15,3.0,3,3,0.5095087136559415
0.15,3.0,3,4,0.5442037807413596
0.15,3.0,3,5,0.49345127031397745
0.15,3.0,3,6,0.4846211724647704
0.15,3.0,3,7,0.5267528147877877
0.15,3.0,3,8,0.5043874747847029
0.15,3.0,3,9,0.5066149248865525
0.15,3.0,4,0,0.49230202057775996
0.15,3.0,4,1,0.49802489824930785
0.15,3.0,4,2,0.47856935550880425
0.15,3.0,4,3,0.5095086823132668
0.15,3.0,4,4,0.5442038364776427
0.15,3.0,4,5,0.49345119213700944
0.15,3.0,4,6,0.4846212064515625
0.15,3.0,4,7,0.526752779895524
0.15,3.0,4,8,0.5043874722293159
0.15,3.0,4,9,0.5066149448211652
0.15,10.0,0,0,0.4923020032734061
0.15,10.0,0,1,0.4980248762947053
0.15,10.0,0,2,0.4785693508550195
0.15,10.0,0,3,0.5095086687220972
0.15,10.0,0,4,0.5442038452408492
0.15,10.0,0,5,0.49345118205309985
0.15,10.0,0,6,0.48462122640416744
0.15,10.0,0,7,0.5267529507513311
0.15,10.0,0,8,0.5043874220599007
0.15,10.0,0,9,0.5066149569169113
0.15,10.0,1,0,0.492302042350354
0.15,10.0,1,1,0.49802492129750253
0.15,10.0,1,2,0.47856935987944477
0.15,10.0,1,3,0.5095087394332737
0.15,10.0,1,4,0.5442037879805702
0.15,10.0,1,5,0.493451162739509
0.15,10.0,1,6,0.48462129151647515
0.15,10.0,1,7,0.5267529348239587
