sigma_a,rho,seed,object,rel_mse_raw
0.05,0.03,2,0,0.4923019896049494
0.05,0.03,2,1,0.49802491726500636
0.05,0.03,2,2,0.4785693192189442
0.05,0.03,2,3,0.5095086622611812
0.05,0.03,2,4,0.5442038145909911
0.05,0.03,2,5,0.4934512004514327
0.05,0.03,2,6,0.4846212371010013
0.05,0.03,2,7,0.5267529006817648
0.05,0.03,2,8,0.504387430668805
0.05,0.03,2,9,0.5066149544418803
0.05,0.03,3,0,0.4923020112060055
0.05,0.03,3,1,0.49802485733581753
0.05,0.03,3,2,0.4785693333979476
0.05,0.03,3,3,0.5095086449929768
0.05,0.03,3,4,0.5442037814370349
0.05,0.03,3,5,0.49345124230158566
0.05,0.03,3,6,0.4846212151928658
0.05,0.03,3,7,0.5267528992910089
0.05,0.03,3,8,0.5043874854721861
0.05,0.03,3,9,0.5066149734513744
0.05,0.03,4,0,0.4923020056589344
0.05,0.03,4,1,0.4980248464925474
0.05,0.03,4,2,0.47856936371211145
0.05,0.03,4,3,0.5095086764193485
0.05,0.03,4,4,0.5442038000968721
0.05,0.03,4,5,0.49345120265197384
0.05,0.03,4,6,0.4846212053570772
0.05,0.03,4,7,0.5267528597702881
0.05,0.03,4,8,0.504387446626581
0.05,0.03,4,9,0.5066149498659623
0.05,0.1,0,0,0.49230201661792033
0.05,0.1,0,1,0.4980248849143669
0.05,0.1,0,2,0.4785693297485506
0.05,0.1,0,3,0.5095086725437151
0.05,0.1,0,4,0.5442037787583694
0.05,0.1,0,5,0.49345118698412366
0.05,0.1,0,6,0.4846212196902225
0.05,0.1,0,7,0.5267528885331392
0.05,0.1,0,8,0.5043874503160182
0.05,0.1,0,9,0.5066149548178638
0.05,0.1,1,0,0.4923020301863075
0.05,0.1,1,1,0.4980248400416161
0.05,0.1,1,2,0.4785693591230278
0.05,0.1,1,3,0.5095086264994396
0.05,0.1,1,4,0.5442038180075819
0.05,0.1,1,5,0.49345120017193955
0.05,0.1,1,6,0.48462121807974057
0.05,0.1,1,7,0.5267528614412207
0.05,0.1,1,8,0.5043874792910321
0.05,0.1,1,9,0.5066149191770877
0.05,0.1,2,0,0.4923019921668523
0.05,0.1,2,1,0.49802488118531113
0.05,0.1,2,2,0.4785693468277671
0.05,0.1,2,3,0.5095086847998356
0.05,0.1,2,4,0.5442038017087921
0.05,0.1,2,5,0.49345120628977157
0.05,0.1,2,6,0.4846212522938347
0.05,0.1,2,7,0.5267528866606531
0.05,0.1,2,8,0.5043874377523894
0.05,0.1,2,9,0.5066149367663544
0.05,0.1,3,0,0.4923019837063338
0.05,0.1,3,1,0.4980248946735378
0.05,0.1,3,2,0.47856931881636394
0.05,0.1,3,3,0.5095086473989168
0.05,0.1,3,4,0.5442038054000868
0.05,0.1,3,5,0.4934512045341492
0.05,0.1,3,6,0.4846212364306983
0.05,0.1,3,7,0.5267528941523775
0.05,0.1,3,8,0.5043874673718461
0.05,0.1,3,9,0.5066149150259726
0.05,0.1,4,0,0.49230201127249057
0.05,0.1,4,1,0.49802490546756106
0.05,0.1,4,2,0.47856936263144567
0.05,0.1,4,3,0.5095086352813856
0.05,0.1,4,4,0.5442038149135405
0.05,0.1,4,5,0.49345121744262893
0.05,0.1,4,6,0.484621236122534
0.05,0.1,4,7,0.5267528782453855
0.05,0.1,4,8,0.5043874837188762
0.05,0.1,4,9,0.5066149052640119
0.05,0.3,0,0,0.4923020092334769
0.05,0.3,0,1,0.4980248749209355
0.05,0.3,0,2,0.47856939493731115
0.05,0.3,0,3,0.5095086627638233
0.05,0.3,0,4,0.5442037852426034
0.05,0.3,0,5,0.4934512089338661
0.05,0.3,0,6,0.4846212366783286
0.05,0.3,0,7,0.5267528889528853
0.05,0.3,0,8,0.5043874518370803
0.05,0.3,0,9,0.5066149149036445
0.05,0.3,1,0,0.4923019918442895
0.05,0.3,1,1,0.4980248906705975
0.05,0.3,1,2,0.4785693416706558
0.05,0.3,1,3,0.5095086604722314
0.05,0.3,1,4,0.5442037605463267
0.05,0.3,1,5,0.49345119511686775
0.05,0.3,1,6,0.4846212525138862
0.05,0.3,1,7,0.5267528813919843
0.05,0.3,1,8,0.50438746505031
0.05,0.3,1,9,0.506614936504832
0.05,0.3,2,0,0.4923020068532298
0.05,0.3,2,1,0.49802488498402897
0.05,0.3,2,2,0.4785693423202744
0.05,0.3,2,3,0.50950864344813
0.05,0.3,2,4,0.5442038175350958
0.05,0.3,2,5,0.49345121216903287
0.05,0.3,2,6,0.48462125301211934
0.05,0.3,2,7,0.5267529024150075
0.05,0.3,2,8,0.5043874771005542
0.05,0.3,2,9,0.5066149405916118
0.05,0.3,3,0,0.4923020121492125
0.05,0.3,3,1,0.49802487486709635
0.05,0.3,3,2,0.4785693658487624
0.05,0.3,3,3,0.5095086335422534
0.05,0.3,3,4,0.5442037745014735
