correction,sigma_a,rho,seed,object,q_delta_raw,m_delta,var_delta_scalar,gain_rel_mse_aligned,qdelta_over_aligned,delta_lag1_corr,raw_rel_mse_total,projected_gain_energy,clean_floor_raw,clean_floor_gain_cross,raw_identity_sum,raw_identity_abs_error,scalar_qdelta_proxy,xi_present,delta_xi_cross
agc,0.5,0.003,0,7,0.016083919844902803,-0.0027461588610742126,0.016076378456412545,0.01652640476822853,0.9732255787310504,0.9500126719657817,9.508120757386473,8.977115137464487,0.526752882227022,0.004253674461373584,9.508121694152884,9.367664102200024e-07,9.685167964161208,False,0.0
scgi_proxy,0.5,0.003,0,7,0.015881789929645115,-0.0032311410505619096,0.015871349657156485,0.016399255022406578,0.9684458170780049,0.9494218716517205,9.480246309346848,8.92727205369614,0.526752882227022,0.026222380155714046,9.480247316078875,1.0067320275197744e-06,9.563452474483933,False,0.0
agc,0.5,0.003,0,8,0.01610884127573777,-0.0033184038685729242,0.016097829471502817,0.0165867879986763,0.9711850948491854,0.9501775629771616,8.894804568686077,8.426504400759102,0.5043874577514778,-0.036087276890665244,8.894804581619914,1.2933837112427682e-08,9.093981110581016,False,0.0
scgi_proxy,0.5,0.003,0,8,0.015973370883707295,-0.0037555484291293497,0.01595926673970376,0.01652037724852562,0.9668889906937723,0.9497414269965269,8.868303451791979,8.413957227849291,0.5043874577514778,-0.050042292292772184,8.868302393307996,1.0584839831295767e-06,9.017503531276558,False,0.0
agc,0.5,0.003,0,9,0.016089043685249372,-0.0034410469222846745,0.01607720288132801,0.01658477820456028,0.9701090654818286,0.9500563311308886,7.240321780341142,6.854408107890423,0.5066149518944131,-0.12070045043015251,7.240322609354684,8.290135422583944e-07,7.385580965959205,False,0.0
scgi_proxy,0.5,0.003,0,9,0.015929716839176024,-0.0038848131134653833,0.015914625066249473,0.01650015264749527,0.9654284526630826,0.9495906649864718,7.224970521669781,6.83254791290369,0.5066149518944131,-0.11419163195812305,7.22497123283998,7.1117019917466e-07,7.312442913459263,False,0.0
agc,0.5,0.003,1,0,0.01540074959015093,-0.002788299875081342,0.015392974973957554,0.01671365275979042,0.9214472629945942,0.9513048303583448,6.359312597000188,5.921705928480096,0.4923020115030484,-0.05469572650613718,6.359312213477008,3.835231803250849e-07,5.944812760470524,False,0.0
scgi_proxy,0.5,0.003,1,0,0.015292803299880923,-0.003182756985220765,0.015282673357853948,0.01656617783010006,0.9231340781634332,0.9510299698669114,6.2677017423187955,5.83396728705175,0.4923020115030484,-0.058568512325370296,6.267700786229429,9.560893667881487e-07,5.903144627365302,False,0.0
agc,0.5,0.003,1,1,0.015406505093427263,-0.002777273002342567,0.01539879184809772,0.01669986918568611,0.9225524417061048,0.9514184756793027,6.577278015247276,5.884396612040452,0.4980248860946312,0.19485608840503355,6.5772775865401165,4.2870715954990146e-07,5.9147770133398465,False,0.0
scgi_proxy,0.5,0.003,1,1,0.015301707773519748,-0.003219024230515558,0.015291345656523101,0.016554011031985283,0.924350463700558,0.9511373004156658,6.493355782126195,5.800473673150966,0.4980248860946312,0.1948563766002523,6.49335493584585,8.462803453568313e-07,5.874543827741314,False,0.0
agc,0.5,0.003,1,2,0.01531168895911626,-0.0027149504412237917,0.01530431800321796,0.01665344648063183,0.919430640193545,0.9510453169573558,7.335652092121432,6.718877258253121,0.47856935164185194,0.13820564943929747,7.33565225933427,1.6721283824239208e-07,6.742157878044753,False,0.0
scgi_proxy,0.5,0.003,1,2,0.015193162168268886,-0.003166012882077894,0.015183138530699405,0.016482975333929062,0.9217487656488095,0.9507365718419979,7.23700491317915,6.616342529109273,0.47856935164185194,0.1420929243409214,7.237004805092046,1.0808710371179586e-07,6.689967271325616,False,0.0
agc,0.5,0.003,1,3,0.015374766765848265,-0.002631908654127437,0.015367839822684594,0.016720028594136238,0.9195418942788315,0.9512554195146177,7.098602560187418,6.499032532015686,0.5095086583081527,0.09006278204352546,7.098603972367365,1.412179947202219e-06,6.528558670579878,False,0.0
scgi_proxy,0.5,0.003,1,3,0.015258727136735973,-0.0030586425739374205,0.015249371842340872,0.016571450978517532,0.9207840132114373,0.9509532268119882,7.0044406874832115,6.401180940433736,0.5095086583081527,0.09375041729717855,7.004440016039068,6.714441438404606e-07,6.479284978282008,False,0.0
agc,0.5,0.003,1,4,0.015358119652305602,-0.002812033460824346,0.015350212120120806,0.016674522310495377,0.9210530512552556,0.9512515104868667,6.090324853642346,5.360136713442459,0.5442038003208816,0.18598360980316403,6.090324123566504,7.300758415595965e-07,5.409130024572754,False,0.0
scgi_proxy,0.5,0.003,1,4,0.015271108391684204,-0.003237634914403923,0.015260626111845236,0.01654987223446369,0.9227327060497439,0.951044476420607,6.013424367156089,5.297447030321011,0.5442038003208816,0.1717728072197913,6.013423637861684,7.292944053105543e-07,5.37848465697839,False,0.0
agc,0.5,0.003,1,5,0.015377332815090704,-0.0029382539838464687,0.015368699478617114,0.01669805496931076,0.9209056290300036,0.9513427855592053,7.967338122018356,7.539651024749824,0.49345120782500074,-0.0657638874860479,7.967338345088777,2.2307042080171868e-07,7.617223371929071,False,0.0
